公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
002168,深圳惠程,深圳市惠程电气股份有限公司,"Shenzhen Hifuture Electric Co., Ltd.",广东省深圳市坪山新区大工业区兰景路以东、锦绣路以南惠程科技工业厂区,002168,深圳惠程,2007-09-19,"825,194,768","757,887,268",,,,0,0,华南,广东,深圳市,C 制造业,www.hifuture.com
002169,智光电气,广州智光电气股份有限公司,"GUANGZHOU ZHIGUANG ELECTRIC CO.,LTD.",广东省广州市黄埔区云埔工业区埔南路51号,002169,智光电气,2007-09-19,"393,895,997","251,270,886",,,,0,0,华南,广东,广州市,C 制造业,www.gzzg.com.cn
002170,芭田股份,深圳市芭田生态工程股份有限公司,"SHENZHEN BATIAN ECOTYPIC ENGINEERING CO., LTD.",广东省深圳市南山区高新技术园粤兴二道10号7-8楼,002170,芭田股份,2007-09-19,"890,047,497","646,133,665",,,,0,0,华南,广东,深圳市,C 制造业,www.batian.com.cn
002171,楚江新材,安徽楚江科技新材料股份有限公司,"Anhui Truchum Advanced Materials and Technology Co.,Ltd.",安徽省芜湖市九华北路8号,002171,楚江新材,2007-09-21,"444,714,992","324,970,488",,,,0,0,华东,安徽,芜湖市,C 制造业,www.jcty.cn
002172,澳洋科技,江苏澳洋科技股份有限公司,Jiangsu Aoyang Technology Corporation Limited.,江苏省张家港市杨舍镇塘市,002172,澳洋科技,2007-09-21,"733,494,462","552,916,408",,,,0,0,华东,江苏,苏州市,C 制造业,www.aykj.cn
002173,*ST创疗,创新医疗管理股份有限公司,"Innovative Medical Management Co.,Ltd.",浙江省诸暨市山下湖镇郑家湖村,002173,*ST创疗,2007-09-25,"456,868,926","183,334,985",,,,0,0,华东,浙江,绍兴市,C 制造业,"www.shanxiahupearl.cn,www.shanxiahu.com"
002174,游族网络,游族网络股份有限公司,"YOUZU Interactive CO., LTD.",福建省晋江市经济开发区安东园金山路31号,002174,游族网络,2007-09-25,"861,315,045","279,713,529",,,,0,0,华东,福建,泉州市,I 信息技术,www.youzu.com；www.youzu.cn
002175,东方网络,东方时代网络传媒股份有限公司,Oriental Times Media Corporation,广西壮族自治区桂林国家高新区五号区,002175,东方网络,2007-10-12,"753,778,212","517,600,153",,,,0,0,华南,广西,桂林市,I 信息技术,www.guanglu.com.cn
002176,江特电机,江西特种电机股份有限公司,"JIANGXI  SPECIAL  ELECTRIC  MOTOR  CO.,LTD",江西省宜春市环城南路581号,002176,江特电机,2007-10-12,"1,469,182,112","1,161,888,344",,,,0,0,华东,江西,宜春市,C 制造业,www.jiangte.com.cn
002177,御银股份,广州御银科技股份有限公司,"Guangzhou KingTeller Technology Co., Ltd.",广东省广州市天河区五山路246、248、250号2602房自编04、05,002177,御银股份,2007-11-01,"761,191,294","622,156,437",,,,0,0,华南,广东,广州市,C 制造业,www.kingteller.com.cn
002178,延华智能,上海延华智能科技(集团)股份有限公司,SHANGHAI YANHUA SMARTECH  GROUP CO.，LTD.,上海市普陀区西康路1255号6楼602室,002178,延华智能,2007-11-01,"727,395,957","539,598,116",,,,0,0,华东,上海,上海市,M 科研服务,www.chinaforwards.com
002179,中航光电,中航光电科技股份有限公司,"AVIC Jonhon Optronic Technology Co.,Ltd.",河南省洛阳高新技术开发区周山路10号,002179,中航光电,2007-11-01,"602,514,884","601,901,147",,,,0,0,华中,河南,洛阳市,C 制造业,www.jonhon.cn
002180,艾派克,珠海艾派克科技股份有限公司,"Apex Technology Co., Ltd.",广东省珠海市香洲区珠海大道3883号01栋2楼、7楼B区，02栋，03栋，04栋1楼、2楼、3楼、4楼、5楼，05栋,002180,艾派克,2007-11-13,"1,012,024,028","192,812,174",,,,0,0,华南,广东,珠海市,C 制造业,www.apexmic.cn
002181,粤 传 媒,广东广州日报传媒股份有限公司,"Guangdong Guangzhou Daily Media Co.,Ltd.",广东省广州市白云区增槎路1113号,002181,粤 传 媒,2007-11-16,"1,161,058,174","1,134,296,906",,,,0,0,华南,广东,广州市,L 商务服务,www.gdgzrb.com
002182,云海金属,南京云海特种金属股份有限公司,"NANJING YUNHAI SPECIAL METALS CO., LTD.",江苏省南京市溧水经济开发区秀山东路9号,002182,云海金属,2007-11-13,"323,211,269","220,149,508",,,,0,0,华东,江苏,南京市,C 制造业,www.rsm.com.cn
002183,怡 亚 通,深圳市怡亚通供应链股份有限公司,Eternal Asia Supply Chain Management Ltd.,广东省深圳市宝安区西乡街道桃花源科技创新园A栋孵化大楼338室,002183,怡 亚 通,2007-11-13,"2,100,708,819","2,099,394,031",,,,0,0,华南,广东,深圳市,L 商务服务,www.eascs.com
002184,海得控制,上海海得控制系统股份有限公司,Shanghai Hi-tech Control System Co.，Ltd,上海市闵行区漕河泾开发区浦江高科技园新骏环路777号,002184,海得控制,2007-11-16,"239,393,449","135,081,080",,,,0,0,华东,上海,上海市,C 制造业,www.hite.com.cn
002185,华天科技,天水华天科技股份有限公司,"Tianshui Huatian Technology Co.,Ltd.",甘肃省天水市秦州区双桥路14号,002185,华天科技,2007-11-20,"1,065,556,472","1,065,200,010",,,,0,0,西北,甘肃,天水市,C 制造业,www.tshtkj.com
002186,全 聚 德,中国全聚德(集团)股份有限公司,"CHINA QUANJUDE(GROUP) CO.,LTD",北京市宣武区前门西河沿217号,002186,全 聚 德,2007-11-20,"308,463,955","280,253,102",,,,0,0,华北,北京,北京市,H 住宿餐饮,www.quanjude.com.cn
